"Story","Title","Result","Date","Stability","Duration (s)"
"Iniciar session y Comprar Articulo","Comprar Articulo","SUCCESS","2025-02-09T17:23:48.4831542-05:00[America/Panama]","0.0","17.33"
"Iniciar sesión y registrar información personal","Registrar información personal","SUCCESS","2025-02-09T21:24:13.7997569-05:00[America/Panama]","0.0","16.14"
